
hour,avg_bk_avail,std_bk_avail
16,7.375506778566826,4.651390986417005
10,6.443437155993022,4.552426450465988
8,9.813412314078185,5.936659510657956
18,14.083920945902449,5.227925874421554
6,15.026944306153798,4.397106637195744
9,6.103351388679086,5.215322344865466
17,11.260594995166983,5.735667050454601
19,14.200883115769594,4.865125559846584
11,6.684084823356656,4.410115133973476
13,7.363004985387653,4.303904415799054
12,7.092447911055575,4.347212349540147
14,7.532186182569015,4.369239929738588
15,6.8177318700236595,4.332774649538406
7,13.771962738020608,4.997637208032805
20,14.186518924943213,4.641649718945061
21,14.720615239402782,4.366559160156732
