
minutes,freq
1.0,0.23457075536687147
2.0,1.5453180424492503
3.0,4.769410759196598
4.0,8.298130206034621
5.0,8.917074742719432
6.0,9.457790107629329
7.0,9.500991292042341
8.0,9.203019879550428
9.0,8.454004749795086
10.0,7.494704935910459
11.0,6.4331233989290775
12.0,5.311060203769478
13.0,4.274231777857175
14.0,3.423518724794444
15.0,2.6687823571033253
16.0,2.0179623519191834
17.0,1.490440862248937
18.0,1.0906547664917603
19.0,0.8189543445212725
20.0,0.6190612966426842
21.0,0.49739742053901065
22.0,0.4116956114602234
23.0,0.3540161922709578
24.0,0.30252505084896164
25.0,0.2848942972101376
26.0,0.23877411385029973
27.0,0.20000980783646133
28.0,0.16743377958989233
29.0,0.14641698717275103
30.0,0.129486793281165
31.0,0.11092195997935685
32.0,0.09177332688818365
33.0,0.0827828101319621
34.0,0.06725373573485215
35.0,0.0698224548080583
36.0,0.05732913931564654
37.0,0.05090734163263114
38.0,0.0454196236125998
39.0,0.04728778293856792
40.0,0.04413526407599672
41.0,0.03642910685637825
42.0,0.03934810580320343
43.0,0.03351010790955307
44.0,0.03432742761466412
45.0,0.03315982803593404
46.0,0.03187546849933096
47.0,0.03000730917336285
48.0,0.03222574837294999
49.0,0.029423509383997813
50.0,0.027788869973775714
51.0,0.030707868920600893
52.0,0.0308246288784739
53.0,0.02720507018441068
54.0,0.02662127039504564
55.0,0.028606189678886763
56.0,0.025687190732061584
57.0,0.02335199157460144
58.0,0.021133552375014304
59.0,0.02300171170098242
60.0,0.024753111069077526
