
minutes,freq
1.0,0.34914580369125825
2.0,1.5005196823378641
3.0,3.5449399085762723
4.0,5.39662357844176
5.0,6.202888021069839
6.0,6.408742772379136
7.0,6.533870170233807
8.0,6.3098517643972185
9.0,5.845669482033118
10.0,5.459187277369096
11.0,5.11105056559602
12.0,4.528804528804529
13.0,3.994994904085813
14.0,3.395594304685214
15.0,3.231112322021413
16.0,2.892057437511983
17.0,2.5802480347934895
18.0,2.2825659189295555
19.0,2.1594567049112503
20.0,1.9081928172837264
21.0,1.8093018093018094
22.0,1.6912380548744186
23.0,1.4783196601378419
24.0,1.4349287076559805
25.0,1.2573285300558028
26.0,1.2603558058103512
27.0,1.0595465140919686
28.0,1.0070737343464615
29.0,0.852682670864489
30.0,0.695264331627968
31.0,0.5983915074824165
32.0,0.5338096247187156
33.0,0.46115500660955205
34.0,0.4288640652277016
35.0,0.39758221576403396
36.0,0.32694578149123604
37.0,0.3178639542275906
38.0,0.36529127438218345
39.0,0.30878212696394514
40.0,0.2643820825639007
41.0,0.24218206036387854
42.0,0.2250274977547705
43.0,0.2290638654275018
44.0,0.21190930281839374
45.0,0.20888202706384523
46.0,0.2078729351456624
47.0,0.21998203816385634
48.0,0.22300931391840484
49.0,0.22401840583658766
50.0,0.1624637988274352
51.0,0.20181838363656546
52.0,0.21190930281839374
53.0,0.17154562609108065
54.0,0.17154562609108065
55.0,0.17860926951836043
56.0,0.15439106348197257
57.0,0.14934560389105844
58.0,0.18567291294564023
59.0,0.1554001554001554
60.0,0.1473274200546928
